TIME,DATE,@ActExtTorque6,@ActConsumpPower
11:13:11,20200822,19.86,21.2
11:13:21,20200822,20.24,20.7
11:13:31,20200822,20.41,20.1
11:13:47,20200822,20.15,19.0
11:13:57,20200822,20.2,18.4
11:14:07,20200822,19.99,17.3
11:14:22,20200822,20.07,16.2
11:14:32,20200822,20.32,15.5
11:14:42,20200822,19.99,15.0
11:14:58,20200822,19.74,14.8
11:15:08,20200822,19.99,14.5
11:15:23,20200822,19.9,14.7
11:15:33,20200822,19.78,15.4
11:15:44,20200822,19.94,16.6
11:15:59,20200822,19.99,17.4
11:16:09,20200822,19.82,18.9
11:16:19,20200822,19.78,19.7
11:16:34,20200822,19.74,19.9
11:16:45,20200822,19.9,20.6
11:17:00,20200822,20.24,20.6
11:17:10,20200822,20.2,20.0
11:17:20,20200822,19.86,19.9
11:17:35,20200822,20.07,19.8
11:17:46,20200822,20.15,18.9
11:18:01,20200822,20.2,18.2
11:18:11,20200822,20.03,17.5
11:18:21,20200822,20.07,16.5
11:18:37,20200822,19.78,16.5
11:18:47,20200822,19.94,16.2
11:18:57,20200822,20.11,16.7
11:19:12,20200822,20.36,17.4
11:19:22,20200822,20.41,18.0
11:19:38,20200822,20.11,18.9
11:19:48,20200822,20.11,19.5
11:19:58,20200822,20.11,18.9
11:20:13,20200822,20.24,18.5
11:20:23,20200822,20.15,18.0
11:20:39,20200822,20.41,17.4
11:20:49,20200822,20.41,17.5
11:20:59,20200822,20.41,16.6
11:21:14,20200822,20.41,16.2
11:21:25,20200822,20.28,16.1
11:21:35,20200822,20.07,16.4
11:21:50,20200822,20.07,16.5
11:22:00,20200822,20.36,17.3
11:22:11,20200822,20.36,17.6
11:22:26,20200822,20.24,18.1
11:22:36,20200822,20.41,18.9
11:22:46,20200822,20.45,19.9
11:23:02,20200822,20.32,21.2
11:23:12,20200822,20.24,21.6
11:23:27,20200822,20.15,21.6
11:23:37,20200822,20.41,22.3
11:23:47,20200822,20.24,21.6
11:24:02,20200822,20.24,20.5
11:24:13,20200822,20.24,19.7
11:24:28,20200822,20.11,18.3
11:24:38,20200822,20.03,17.2
11:24:48,20200822,19.9,15.9
11:25:03,20200822,20.15,15.6
11:25:13,20200822,20.07,15.0
11:25:23,20200822,19.86,14.8
11:25:39,20200822,20.24,14.7
11:25:49,20200822,20.24,14.6
11:25:59,20200822,20.03,15.2
11:26:14,20200822,19.9,16.5
11:26:25,20200822,20.11,18.1
11:26:40,20200822,20.36,19.2
11:26:50,20200822,20.2,20.4
11:27:05,20200822,19.9,20.9
11:27:16,20200822,19.9,20.7
11:27:26,20200822,20.36,20.6
11:27:41,20200822,20.32,20.4
