TIME,DATE,ActStsMach,ActTimCyc,ActTimFill[1],ActTimPlst[1],ActStrCsh[1],ActStrPlst[1],ActPrsMachSpecMax,ActCntCyc,@ActCntCycGood,ActCntCycRej,"ActTmpBrlZn[1,1]","ActTmpBrlZn[1,3]","ActTmpBrlZn[1,4]","ActTmpBrlZn[1,5]","ActTmpBrlZn[1,8]",@Set_SB_Nozzle1Temperature,@Set_SB_Barrel1Temperature,@Set_SB_Barrel2Temperature,@Set_SB_Barrel3Temperature,@Set_SB_FeedThroatTemperature,@Set_SB_UpperLimitOfNozzle1Temperature,@Set_SB_UpperLimitOfBarrel1Temperature,@Set_SB_UpperLimitOfBarrel2Temperature,@Set_SB_UpperLimitOfBarrel3Temperature,@Set_SB_UpperLimitOfFeedThroatTemperature,@Set_SB_LowerLimitOfNozzle1Temperature,@Set_SB_LowerLimitOfBarrel1Temperature,@Set_SB_LowerLimitOfBarrel2Temperature,@Set_SB_LowerLimitOfBarrel3Temperature,@Set_SB_LowerLimitOfFeedThroatTemperature,@ActExtStartPos,SetRecMld,@ActExtTorque6,@ActConsumpPower,@ActInjPeakTime,@ActInjPeakPos,@ActCntCycNoReset,ActPrsXfrSpec[1],@ActContainerGood,@ActInjStartPrs,@ActFlowPeak,@ActBackFlow,@ActLockUpTime,@ActScrewRev,@ActClampOpenTime,@ActEjectTime,@ActPackEndPrs,@ActPackEndPos,@ActResidenceTime,ActStrXfr[1],ActStrCsh[1]
16:43:50,20200821,0A000,12.08,0.335,2.47,4.89,48,87.5,293064,292936,128,220,220,220.6,220.7,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,19.99,14.4,0.337,7.74,3887032,87.2,0,-0.5,3.35,2.03,0.25,0.22,4.82,1.29,57.6,4.89,7.96,8,4.89
16:44:05,20200821,0A000,12.08,0.335,2.47,4.99,48,87.6,293065,292937,128,219.9,220,220.6,220.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,20.36,14.2,0.337,7.74,3887033,87.3,0,-0.5,3.47,2.18,0.25,0.22,4.82,1.28,57.6,4.99,7.95,8,4.99
16:44:15,20200821,0A000,12.09,0.335,2.47,4.93,48,87.5,293066,292938,128,220,220,220.6,220.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.91,L99- NOM,19.99,14.5,0.337,7.74,3887034,87.2,0,-0.4,3.35,2.11,0.25,0.22,4.84,1.28,57.5,4.93,7.95,8,4.93
16:44:31,20200821,0A000,12.08,0.335,2.46,4.91,48,87.6,293067,292939,128,220,220,220.6,220.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,20.15,14.8,0.337,7.74,3887035,87.2,0,-0.4,3.47,2.15,0.25,0.22,4.82,1.28,57.5,4.91,7.98,8,4.91
16:44:41,20200821,0A000,12.09,0.335,2.47,4.9,48,87.6,293068,292940,128,220,220,220.6,220.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.82,L99- NOM,19.99,15.2,0.337,7.71,3887036,87.2,0,-0.6,3.47,2.15,0.26,0.22,4.82,1.28,57.6,4.9,7.96,8,4.9
16:44:51,20200821,0A000,12.08,0.335,2.46,4.96,48,87.7,293069,292941,128,220,220,220.5,220.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,20.2,15.8,0.337,7.74,3887037,87.3,0,-0.5,3.39,2.18,0.25,0.22,4.82,1.28,57.6,4.96,7.96,8,4.96
16:45:01,20200821,0A000,12.08,0.335,2.46,4.94,48,87.6,293070,292942,128,220,220,220.4,220.9,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.87,L99- NOM,20.11,16.3,0.337,7.74,3887038,87.3,0,-0.4,3.47,2.18,0.25,0.22,4.82,1.28,57.5,4.94,7.95,8,4.94
16:45:17,20200821,0A000,12.1,0.335,2.47,4.92,48,87.7,293071,292943,128,220,220,220.3,220.8,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.86,L99- NOM,20.24,17,0.337,7.74,3887039,87.3,0,-0.5,3.39,2.15,0.25,0.22,4.84,1.28,57.5,4.92,7.95,8,4.92
16:45:27,20200821,0A000,12.09,0.335,2.48,4.89,48,87.6,293072,292944,128,220,220.1,220.2,220.7,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.84,L99- NOM,20.03,17.2,0.337,7.74,3887040,87.2,0,-0.5,3.47,2.22,0.25,0.22,4.83,1.28,57.5,4.89,7.96,8,4.89
16:45:42,20200821,0A000,12.08,0.335,2.48,4.92,48,87.6,293073,292945,128,220,220.1,220.1,220.6,45,220,220,220,220,45,10,10,10,10,10,10,10,10,10,10,4.81,L99- NOM,20.15,18.1,0.337,7.74,3887041,87.3,0,-0.4,3.47,2.18,0.25,0.22,4.82,1.29,57.6,4.92,7.95,8,4.92
